N,P,K,temperature,humidity,ph,rainfall,label
14.63,50.27,18.0,23.82,69.09,6.34,33.54,lentil
21.05,76.45,13.12,27.74,65.03,7.34,45.14,lentil
6.19,67.18,23.64,21.82,62.47,6.83,22.5,lentil
27.16,61.19,21.42,24.24,72.35,7.06,43.82,lentil
14.33,74.78,11.91,26.44,58.21,7.4,46.99,lentil
22.02,69.06,12.39,21.92,68.83,6.97,55.15,lentil
20.82,60.67,16.22,24.81,50.92,7.57,49.23,lentil
24.94,55.76,24.38,31.19,56.87,7.21,45.71,lentil
11.08,72.34,22.73,22.7,71.8,6.23,33.74,lentil
19.48,68.6,16.53,26.93,67.99,7.24,44.71,lentil
21.81,64.83,27.62,22.06,77.43,6.91,34.7,lentil
25.64,69.41,22.8,28.17,66.83,6.66,53.51,lentil
18.8,73.89,10.79,25.84,60.97,7.56,50.68,lentil
20.0,72.29,15.41,29.37,76.75,7.06,58.42,lentil
15.95,62.02,19.56,25.8,62.44,7.12,48.15,lentil
13.81,72.55,22.85,25.01,71.72,6.41,49.44,lentil
12.95,59.49,16.88,21.67,61.51,6.81,52.4,lentil
17.19,55.71,23.96,21.99,64.45,7.08,47.3,lentil
24.27,72.23,15.95,31.04,65.97,6.84,53.41,lentil
20.05,71.59,29.37,23.67,62.89,6.95,54.27,lentil
11.27,52.68,17.05,19.6,62.25,7.1,38.57,lentil
11.67,68.95,22.85,19.42,69.72,7.23,53.33,lentil
24.89,86.02,17.98,24.83,62.3,6.9,57.96,lentil
12.07,61.51,24.91,27.56,62.62,7.24,48.43,lentil
26.3,69.0,23.5,32.43,68.39,6.92,51.48,lentil
16.97,87.5,20.12,23.68,59.79,7.34,52.64,lentil
16.31,73.01,13.37,25.05,67.52,7.58,39.53,lentil
12.41,61.24,14.05,28.51,74.09,7.03,55.47,lentil
19.47,67.64,18.07,23.57,55.51,7.01,45.38,lentil
22.53,69.15,18.75,21.89,65.23,7.2,36.55,lentil
19.24,70.26,16.53,22.74,66.18,6.45,48.5,lentil
14.32,76.9,28.75,21.92,68.01,6.61,54.03,lentil
12.47,72.24,15.91,23.88,58.61,7.23,39.0,lentil
21.56,65.65,18.94,24.94,60.23,6.98,57.94,lentil
14.91,77.77,25.39,22.05,56.07,7.02,41.32,lentil
28.14,68.68,16.19,21.06,71.34,6.67,46.05,lentil
23.58,64.53,19.22,24.45,68.9,7.14,43.94,lentil
19.12,65.43,13.49,25.27,76.15,6.55,39.52,lentil
14.45,74.2,21.19,24.02,59.29,6.94,33.18,lentil
19.52,75.37,14.4,19.9,74.28,6.66,54.79,lentil
18.03,67.1,21.15,21.85,65.59,6.75,35.14,lentil
20.49,66.29,18.77,20.87,74.35,7.25,53.41,lentil
17.27,54.57,27.21,24.32,60.31,7.07,55.04,lentil
18.68,78.63,23.73,21.27,60.76,7.28,24.0,lentil
18.05,56.95,17.49,23.6,62.65,6.68,36.92,lentil
30.26,83.34,14.75,29.25,62.4,6.95,45.19,lentil
15.5,76.27,19.9,23.07,56.97,6.54,32.57,lentil
18.86,58.83,18.34,28.61,72.0,6.89,45.0,lentil
28.2,72.57,18.09,20.22,67.16,7.23,40.65,lentil
20.26,65.49,18.66,17.04,63.47,7.29,40.65,lentil
19.06,62.35,20.84,23.85,59.16,7.43,53.13,lentil
15.78,72.38,21.55,26.43,54.63,7.3,41.14,lentil
17.01,89.5,20.61,23.34,51.57,7.46,34.94,lentil
13.78,65.75,25.07,26.82,63.85,7.02,40.9,lentil
19.5,68.99,23.28,27.4,67.76,6.76,51.63,lentil
18.34,59.74,17.79,24.75,70.26,6.83,36.03,lentil
19.08,69.31,20.14,27.26,70.91,6.66,40.77,lentil
13.6,73.99,25.2,23.55,63.35,7.49,49.74,lentil
20.98,58.87,22.11,21.71,58.0,6.76,41.01,lentil
17.57,11.6,44.99,25.75,82.31,6.89,97.77,pomegranate
24.04,18.46,40.34,21.15,94.95,5.78,114.79,pomegranate
25.51,22.38,51.82,19.95,93.93,6.35,122.3,pomegranate
18.85,16.86,46.73,20.08,84.45,6.14,114.93,pomegranate
27.25,19.36,46.79,17.05,88.33,6.26,106.13,pomegranate
19.4,22.25,37.98,22.29,89.92,5.94,106.14,pomegranate
18.04,17.97,40.36,22.06,88.37,7.04,93.47,pomegranate
14.57,32.7,35.01,17.06,93.04,5.36,104.68,pomegranate
31.77,11.08,30.29,16.55,93.69,6.96,101.35,pomegranate
23.0,25.75,49.14,20.94,80.89,5.99,102.38,pomegranate
17.35,17.86,45.79,26.26,89.41,6.95,111.79,pomegranate
19.29,23.33,40.56,29.0,84.35,6.14,105.98,pomegranate
21.54,25.14,40.08,16.82,93.47,6.78,84.2,pomegranate
18.88,10.85,36.88,18.64,93.34,6.46,92.07,pomegranate
24.18,11.63,41.85,18.95,88.64,6.65,113.76,pomegranate
26.92,18.39,41.73,20.27,90.83,6.62,106.32,pomegranate
8.08,20.46,42.02,19.42,84.96,7.14,113.4,pomegranate
17.53,13.11,36.09,26.36,90.65,6.12,113.62,pomegranate
14.01,26.3,46.96,20.17,87.59,5.09,89.72,pomegranate
10.86,19.48,38.57,17.09,88.98,6.65,113.83,pomegranate
7.5,18.16,33.28,24.96,93.24,5.95,98.31,pomegranate
16.13,7.54,41.88,20.85,93.98,5.85,100.07,pomegranate
9.86,13.78,34.29,25.29,87.31,6.46,102.93,pomegranate
11.28,17.96,43.2,17.57,93.34,5.98,101.7,pomegranate
22.08,15.48,40.39,20.7,90.62,5.21,85.54,pomegranate
22.6,23.99,35.65,20.95,91.28,6.75,83.17,pomegranate
13.58,17.14,43.72,30.54,89.19,5.7,112.33,pomegranate
26.83,19.34,35.67,25.15,92.75,5.89,112.08,pomegranate
24.88,24.71,39.87,20.55,95.01,5.79,112.76,pomegranate
10.68,24.13,38.91,26.24,92.07,5.79,124.6,pomegranate
28.21,23.21,36.39,20.73,90.68,6.05,127.81,pomegranate
19.77,5.28,41.9,20.58,89.8,6.22,117.18,pomegranate
25.62,20.22,38.5,21.66,90.18,6.0,114.45,pomegranate
21.66,26.5,46.48,19.4,93.38,5.92,115.85,pomegranate
15.8,13.68,41.6,12.44,83.1,6.31,108.49,pomegranate
16.68,10.9,36.11,23.17,92.43,6.39,121.38,pomegranate
21.28,15.06,38.8,16.89,89.67,6.96,115.72,pomegranate
27.31,17.29,46.93,21.12,95.99,6.39,115.99,pomegranate
27.75,17.83,41.29,26.31,89.57,5.74,133.22,pomegranate
16.08,19.59,45.98,19.67,86.07,6.53,85.98,pomegranate
17.17,20.03,38.85,16.4,96.48,6.45,124.67,pomegranate
17.34,14.4,41.55,21.04,85.39,7.13,100.03,pomegranate
7.86,25.44,37.68,19.67,83.04,7.27,92.03,pomegranate
19.25,23.36,42.31,21.59,83.29,6.0,109.75,pomegranate
14.18,19.82,43.61,25.17,85.2,7.5,116.71,pomegranate
18.89,24.25,52.03,16.76,89.2,5.21,109.81,pomegranate
21.09,18.6,36.93,14.63,91.59,7.13,100.41,pomegranate
21.54,10.96,42.49,20.42,87.05,6.02,102.78,pomegranate
21.19,12.24,38.21,21.65,85.7,7.3,97.26,pomegranate
14.88,13.91,49.19,23.74,86.35,6.95,109.91,pomegranate
20.44,17.08,36.45,22.98,87.92,7.31,92.27,pomegranate
28.12,18.24,41.7,24.72,87.58,6.83,75.01,pomegranate
14.58,14.18,33.93,21.05,91.64,6.75,110.39,pomegranate
14.91,20.65,40.82,25.08,93.21,6.42,96.73,pomegranate
14.98,16.05,38.62,22.74,92.96,6.37,107.69,pomegranate
19.76,16.22,35.57,15.66,87.32,6.64,99.07,pomegranate
17.47,21.13,42.8,18.02,94.09,6.96,93.94,pomegranate
13.96,24.76,39.47,14.03,84.5,6.28,93.54,pomegranate
16.42,18.96,47.51,20.78,94.39,7.11,124.71,pomegranate
20.61,8.98,42.5,25.47,89.78,7.27,117.82,pomegranate
22.31,24.23,41.87,13.08,88.1,7.0,97.81,pomegranate
17.56,13.58,49.12,27.69,86.56,6.47,99.33,pomegranate
22.59,21.35,44.26,22.96,100.0,5.89,86.97,pomegranate
16.54,10.96,32.74,18.3,86.41,5.92,113.72,pomegranate
15.86,17.9,44.67,19.12,89.04,6.58,84.2,pomegranate
4.59,20.53,42.66,29.02,90.73,6.81,105.15,pomegranate
20.68,27.14,29.58,23.25,98.64,6.54,127.31,pomegranate
15.12,18.64,40.37,14.04,85.43,5.85,117.36,pomegranate
24.13,20.42,44.32,21.23,94.91,6.4,108.19,pomegranate
17.31,22.22,38.09,25.22,85.57,5.85,115.75,pomegranate
18.37,16.53,44.65,19.67,89.3,7.1,125.97,pomegranate
28.33,17.39,46.35,18.48,86.47,5.22,127.57,pomegranate
13.72,18.17,35.65,24.23,88.6,5.75,112.8,pomegranate
10.3,14.61,29.67,16.82,90.81,5.42,89.73,pomegranate
18.89,16.08,50.16,28.22,86.63,6.68,116.49,pomegranate
15.32,11.32,40.14,21.2,88.36,6.62,98.49,pomegranate
11.99,19.35,42.13,17.68,93.81,5.51,100.56,pomegranate
17.35,15.62,37.37,28.35,86.7,7.62,112.75,pomegranate
19.45,21.18,52.85,18.32,85.62,6.02,107.89,pomegranate
8.55,18.91,48.67,22.33,88.93,6.09,118.28,pomegranate
13.95,28.03,49.87,22.7,90.05,6.92,120.64,pomegranate
14.06,16.17,33.59,23.23,92.77,5.73,102.04,pomegranate
10.82,14.31,42.96,19.23,88.9,5.59,109.74,pomegranate
18.63,15.16,39.25,22.43,86.84,5.66,129.17,pomegranate
15.1,18.32,45.25,34.15,85.12,6.62,99.01,pomegranate
15.67,15.2,34.57,21.66,84.2,6.87,108.16,pomegranate
21.43,16.47,38.36,22.81,85.44,6.22,97.18,pomegranate
13.56,8.25,46.9,19.4,94.75,6.93,92.07,pomegranate
12.37,31.6,48.95,21.69,91.13,6.08,112.69,pomegranate
14.6,8.64,33.59,21.87,85.58,6.37,94.6,pomegranate
14.21,23.07,41.44,21.77,93.62,6.64,124.86,pomegranate
16.14,16.65,33.69,20.3,93.96,7.05,119.02,pomegranate
8.13,24.22,31.01,24.94,88.63,6.75,91.51,pomegranate
25.93,11.48,36.86,18.31,83.08,6.45,129.17,pomegranate
34.9,19.29,45.78,22.61,92.1,6.23,109.84,pomegranate
22.12,15.91,39.81,21.6,93.41,5.87,106.88,pomegranate
30.37,24.62,46.95,21.89,91.38,6.9,126.22,pomegranate
7.19,12.22,46.75,20.83,87.41,5.77,100.84,pomegranate
10.49,29.26,40.09,21.6,92.45,6.88,118.85,pomegranate
25.34,15.65,38.71,24.49,87.99,6.4,112.29,pomegranate
108.05,69.56,54.39,26.93,83.13,6.31,128.72,banana
113.73,91.43,58.76,27.98,80.43,6.35,115.58,banana
97.11,84.83,49.89,25.69,85.46,6.02,135.33,banana
83.95,78.1,50.3,29.67,81.9,6.12,87.69,banana
88.63,84.26,41.92,26.34,82.3,5.61,128.68,banana
112.44,71.0,44.51,22.83,77.17,6.31,98.39,banana
104.81,71.34,54.89,26.29,80.35,5.96,85.53,banana
88.67,88.77,52.49,29.5,81.6,6.06,78.71,banana
97.5,81.81,61.82,28.77,86.44,6.24,93.93,banana
101.37,83.65,44.47,26.63,79.48,6.64,73.39,banana
112.26,75.44,41.87,29.76,83.23,6.5,116.61,banana
120.8,85.91,49.16,28.09,85.27,5.69,94.82,banana
97.11,67.27,50.93,23.63,80.51,6.35,97.45,banana
116.97,71.78,57.25,28.75,73.44,7.08,103.64,banana
91.43,72.15,48.78,27.15,80.71,5.88,114.1,banana
96.32,68.46,49.2,22.67,81.72,5.61,107.05,banana
113.34,75.36,56.47,26.53,87.31,5.85,91.99,banana
107.07,78.95,45.05,26.44,80.12,6.54,75.59,banana
100.43,86.37,51.26,30.02,80.0,5.93,113.48,banana
101.19,79.27,53.2,26.09,77.86,5.79,124.9,banana
67.99,84.77,50.31,24.04,81.54,6.19,113.44,banana
73.68,91.56,45.67,28.77,83.26,5.65,114.51,banana
96.35,67.5,57.11,25.85,76.88,5.84,108.68,banana
99.63,85.84,42.06,25.92,79.84,6.76,102.89,banana
111.05,82.27,47.2,26.91,79.63,6.24,125.22,banana
103.8,90.31,44.31,26.57,77.4,6.13,99.22,banana
107.5,75.48,50.36,28.77,72.04,6.85,100.35,banana
79.95,83.11,50.3,27.24,84.26,6.3,109.07,banana
104.7,81.27,60.75,24.44,80.86,6.03,116.8,banana
91.76,69.79,51.04,27.96,86.26,5.49,121.92,banana
123.87,79.36,42.35,26.59,80.36,6.23,95.73,banana
115.75,74.2,39.66,29.61,71.2,5.92,151.37,banana
100.08,74.15,49.76,27.3,80.94,6.26,89.01,banana
117.08,83.72,54.46,26.14,85.45,5.9,108.76,banana
90.87,75.02,54.23,26.51,76.88,5.74,115.08,banana
93.91,81.18,50.19,23.57,74.42,6.13,93.54,banana
110.77,88.77,54.42,31.04,79.97,6.26,95.83,banana
124.72,95.89,50.17,28.17,85.74,5.94,94.75,banana
108.94,82.55,51.2,25.73,73.43,6.09,118.17,banana
97.94,92.06,45.88,25.29,80.03,5.97,116.15,banana
92.45,91.58,61.9,27.32,85.3,5.58,120.73,banana
110.67,88.04,50.01,21.49,77.73,5.75,89.93,banana
101.42,79.07,45.15,25.28,77.44,6.45,94.68,banana
95.05,78.8,52.13,28.31,68.12,6.41,126.15,banana
89.7,75.19,47.4,25.89,81.2,5.22,87.83,banana
115.59,75.5,57.56,28.11,73.06,6.25,102.83,banana
95.65,83.71,52.95,28.82,85.01,6.16,83.97,banana
95.46,102.6,54.45,32.14,85.88,6.1,109.12,banana
99.83,69.84,50.21,29.82,77.9,6.16,117.37,banana
91.1,78.84,43.99,25.76,75.15,5.64,125.89,banana
91.05,82.89,47.08,29.76,85.54,6.35,109.19,banana
97.89,73.66,61.76,25.88,82.95,6.42,96.27,banana
110.58,87.35,60.47,26.46,75.16,5.8,107.73,banana
100.78,79.25,38.64,28.34,88.19,6.19,113.74,banana
105.92,84.78,55.69,28.19,79.05,5.68,100.87,banana
103.34,79.79,51.99,28.28,83.63,6.51,105.77,banana
87.12,79.58,50.36,23.73,85.85,6.06,110.32,banana
113.86,77.59,53.54,27.18,79.56,5.69,129.58,banana
96.44,86.9,38.85,29.76,84.51,6.04,101.2,banana
104.2,98.02,39.52,28.96,76.65,5.99,100.88,banana
95.92,81.93,43.29,29.46,73.12,6.22,99.7,banana
88.49,83.42,40.76,27.48,74.61,6.18,90.73,banana
95.69,84.06,45.46,27.28,74.24,6.25,131.07,banana
128.12,82.64,54.83,23.84,86.31,6.31,97.34,banana
112.57,80.22,47.35,28.35,76.05,6.41,88.76,banana
89.7,75.63,54.66,26.17,74.91,5.76,104.12,banana
88.39,73.94,62.77,25.68,79.01,5.85,98.28,banana
106.41,88.64,48.26,24.93,85.4,5.96,130.55,banana
77.74,83.37,61.61,26.69,79.4,6.12,96.22,banana
97.08,79.64,46.34,29.86,82.14,6.1,116.73,banana
97.56,76.58,46.48,27.4,76.06,5.8,96.86,banana
121.45,62.58,49.02,30.85,80.79,6.3,106.1,banana
93.53,66.31,51.33,25.85,77.1,5.8,130.77,banana
124.25,83.52,47.31,25.05,82.17,6.71,100.89,banana
76.41,86.69,56.01,24.23,81.01,6.18,103.5,banana
92.29,89.11,47.68,24.43,72.1,6.5,113.85,banana
101.08,78.92,46.93,25.25,78.57,5.15,93.56,banana
97.09,86.27,49.86,28.99,85.7,6.42,111.66,banana
100.32,75.13,54.54,30.76,81.67,6.77,81.72,banana
88.66,87.99,51.69,30.03,80.24,5.65,101.4,banana
84.87,74.1,55.93,29.15,81.75,5.31,99.22,banana
87.95,90.24,46.6,25.23,80.42,5.74,126.86,banana
92.85,72.21,37.18,27.34,78.05,5.43,122.44,banana
106.87,81.8,58.29,28.73,77.01,5.58,116.87,banana
104.16,83.19,45.02,28.62,77.28,5.96,126.3,banana
93.59,70.99,43.78,29.39,81.32,5.95,96.96,banana
105.05,76.06,51.93,25.94,76.71,5.75,98.97,banana
99.71,83.65,27.97,25.78,78.73,6.6,88.4,banana
101.83,92.47,42.22,28.19,77.09,5.8,92.55,banana
92.88,101.05,55.17,29.6,82.27,5.36,110.52,banana
110.93,76.03,55.89,28.81,87.71,5.83,88.14,banana
96.58,92.05,39.13,23.26,80.66,5.82,104.72,banana
109.65,78.13,38.86,31.49,76.31,5.58,121.16,banana
96.36,81.56,53.0,29.57,78.97,6.61,72.56,banana
107.8,76.12,58.33,27.68,77.61,6.27,118.0,banana
106.62,74.79,47.2,27.39,80.13,6.3,74.38,banana
103.54,79.97,45.07,25.92,79.44,4.56,94.08,banana
91.44,85.73,45.27,26.97,86.47,6.4,118.13,banana
95.2,85.8,48.7,27.01,81.94,5.76,127.0,banana
98.6,86.33,58.83,29.46,74.66,6.18,117.36,banana
24.56,21.63,26.71,34.18,44.87,5.62,113.61,mango
19.86,23.57,25.61,32.2,40.87,5.65,98.7,mango
26.6,30.54,26.43,34.74,48.1,5.06,92.64,mango
27.29,28.03,30.06,36.11,40.18,5.03,75.31,mango
21.96,28.03,37.71,31.93,47.37,5.8,96.11,mango
11.74,40.75,32.6,31.83,54.51,6.23,93.01,mango
16.94,30.2,31.93,28.77,60.13,5.98,103.46,mango
27.06,27.31,31.58,33.63,45.13,5.83,96.21,mango
15.32,38.79,22.96,27.31,59.4,6.23,82.39,mango
23.14,34.54,29.85,39.0,38.13,6.22,108.7,mango
24.56,26.18,28.55,32.53,55.91,6.16,107.18,mango
15.01,26.06,25.3,30.04,57.31,5.86,125.98,mango
21.07,27.5,30.53,29.29,49.8,6.48,96.07,mango
16.13,22.57,27.75,31.42,58.56,5.0,90.86,mango
20.82,18.03,25.83,29.16,44.63,5.92,92.77,mango
17.32,29.34,38.62,36.12,36.74,6.15,92.56,mango
20.88,25.21,30.59,31.65,46.15,5.26,89.32,mango
21.27,30.19,34.27,29.72,52.19,6.38,108.69,mango
19.81,26.1,30.96,27.75,48.84,6.25,102.4,mango
18.75,28.29,25.88,33.31,49.66,5.63,90.36,mango
19.79,24.96,33.29,30.01,61.35,6.68,84.0,mango
20.45,23.95,28.37,37.21,48.05,6.02,101.2,mango
15.1,22.92,23.97,28.54,30.25,6.13,119.35,mango
20.84,20.12,26.79,29.82,43.08,6.32,104.42,mango
14.32,30.83,37.63,36.91,70.26,5.26,128.59,mango
18.33,24.24,31.64,29.45,52.99,5.01,91.83,mango
26.53,26.91,30.71,32.63,58.39,4.81,101.71,mango
18.76,28.03,35.3,27.62,43.11,4.64,88.11,mango
26.75,26.6,23.3,29.74,39.78,5.12,99.37,mango
14.23,32.76,29.64,31.46,48.25,6.26,104.1,mango
21.78,30.02,28.94,32.83,47.83,5.8,91.4,mango
17.81,23.75,32.34,35.13,58.4,5.05,110.17,mango
18.51,30.2,25.47,31.63,52.4,4.91,102.0,mango
26.83,26.33,36.8,30.63,56.15,4.47,123.73,mango
27.58,25.78,20.14,32.06,40.09,6.07,99.64,mango
15.39,32.8,34.03,34.13,50.26,4.95,106.43,mango
18.75,20.25,36.76,37.5,49.91,7.1,95.8,mango
18.2,24.05,38.19,28.86,55.35,5.46,89.18,mango
25.25,25.3,27.98,34.6,61.38,6.19,86.84,mango
17.55,27.6,31.6,28.24,55.26,5.85,74.11,mango
15.46,24.68,29.64,36.87,51.87,5.3,97.35,mango
18.34,28.82,32.9,34.83,50.03,6.78,105.6,mango
16.56,38.25,31.63,28.69,61.77,7.05,94.3,mango
17.58,26.34,33.57,35.03,54.19,5.86,112.68,mango
18.54,32.35,28.56,32.49,49.41,5.77,90.17,mango
26.82,23.54,26.3,37.56,57.04,4.37,87.92,mango
11.04,22.45,14.31,30.79,42.21,5.84,75.2,mango
20.51,25.13,37.51,35.43,55.7,5.6,118.52,mango
12.33,20.18,29.58,37.96,48.78,5.69,77.4,mango
24.83,31.97,33.95,29.31,45.25,5.02,95.71,mango
14.7,21.31,27.88,29.73,46.43,6.08,95.65,mango
18.66,28.12,25.04,31.52,51.25,4.9,106.65,mango
15.69,27.65,35.82,33.98,50.44,5.58,106.07,mango
23.47,24.11,26.03,24.98,51.28,5.75,108.33,mango
21.9,33.87,26.51,34.61,46.5,6.27,77.19,mango
21.28,17.28,28.66,32.52,46.55,5.17,104.85,mango
19.58,24.75,30.21,39.11,58.27,6.5,99.93,mango
20.93,15.22,26.61,29.76,37.08,5.11,70.93,mango
19.91,31.29,35.53,32.44,43.46,4.64,73.62,mango
13.76,22.76,29.2,28.16,52.57,5.66,94.83,mango
25.8,21.3,32.09,31.16,47.87,6.33,105.25,mango
15.37,26.29,31.41,30.38,54.3,5.97,116.69,mango
12.45,26.59,25.46,33.01,38.88,6.01,87.14,mango
16.43,19.97,27.67,34.45,50.02,6.18,114.68,mango
21.42,24.41,32.34,29.57,46.67,4.89,105.82,mango
18.17,28.11,24.82,32.51,44.87,5.71,105.23,mango
24.05,27.09,21.16,40.18,62.42,6.23,85.66,mango
19.53,24.48,36.32,31.99,44.71,5.52,108.15,mango
28.1,34.84,33.79,30.44,27.51,5.98,94.68,mango
20.8,27.47,23.37,32.87,54.63,6.21,106.06,mango
23.12,25.15,29.65,31.47,50.95,6.4,102.42,mango
30.49,38.23,30.4,19.69,58.86,5.48,85.08,mango
18.11,24.97,33.06,26.52,42.66,6.01,102.18,mango
23.31,23.26,25.11,29.68,51.88,6.69,70.13,mango
19.0,20.54,21.74,34.1,54.01,6.07,105.75,mango
17.7,25.04,40.93,30.46,55.35,5.8,72.52,mango
9.88,24.31,35.28,33.56,56.6,5.21,114.09,mango
15.28,28.26,29.95,30.68,59.57,5.38,78.5,mango
20.2,25.2,46.89,33.23,47.33,5.17,72.14,mango
14.97,27.77,37.14,34.57,51.8,5.61,97.93,mango
17.51,35.79,29.05,30.94,34.69,5.68,104.74,mango
14.76,23.45,33.96,26.77,57.6,5.48,90.04,mango
14.48,29.09,42.3,33.54,44.15,6.48,90.9,mango
26.97,31.23,15.28,28.19,56.81,5.89,82.41,mango
16.93,17.67,29.56,37.83,55.83,7.11,105.29,mango
25.24,37.07,31.89,30.64,57.43,6.67,88.94,mango
16.49,27.89,34.16,33.59,40.23,6.95,87.01,mango
18.77,22.69,43.49,31.93,44.24,6.32,103.93,mango
19.16,31.4,25.87,29.72,36.13,5.01,116.39,mango
28.31,27.53,38.31,30.72,48.5,5.83,93.2,mango
19.02,32.92,30.75,33.34,57.42,6.03,83.06,mango
13.34,27.94,29.14,31.46,50.09,7.35,78.74,mango
10.15,28.86,28.12,32.15,54.29,6.57,76.61,mango
17.32,29.34,33.85,37.78,56.89,5.77,84.01,mango
17.28,24.24,33.28,31.97,40.93,5.54,105.23,mango
21.86,30.04,31.91,36.08,51.85,5.57,83.71,mango
21.35,15.0,29.08,30.58,40.65,5.24,104.42,mango
21.25,27.71,31.53,31.48,58.9,5.87,77.2,mango
28.25,29.05,27.05,27.44,52.97,5.73,113.59,mango
18.37,23.01,34.48,33.98,51.38,6.21,94.25,mango
24.6,144.15,205.1,23.12,88.66,4.82,90.12,grapes
12.96,126.23,199.77,23.21,86.93,5.47,72.21,grapes
19.73,135.45,199.58,24.17,79.15,5.74,72.47,grapes
28.86,126.52,193.15,26.25,81.74,6.42,60.54,grapes
12.52,127.17,193.97,23.48,78.72,6.37,66.72,grapes
24.1,134.08,201.66,23.7,84.45,5.6,83.59,grapes
21.78,119.38,201.6,20.4,85.23,7.1,61.73,grapes
25.19,114.94,203.73,20.26,78.78,5.45,76.92,grapes
29.24,132.73,193.18,30.16,78.15,4.92,74.18,grapes
16.57,142.39,197.05,26.21,88.91,5.4,63.94,grapes
22.75,147.88,194.83,21.42,84.29,5.71,71.13,grapes
13.89,150.0,189.32,22.51,81.74,6.96,56.35,grapes
35.1,140.07,203.44,19.86,84.76,5.64,82.27,grapes
17.37,131.37,195.66,19.85,85.61,6.27,81.69,grapes
12.52,143.14,210.0,21.99,91.38,5.87,55.88,grapes
21.37,142.98,193.39,21.4,84.87,6.0,75.45,grapes
24.63,137.3,196.64,24.73,77.26,6.64,63.26,grapes
29.97,130.16,201.72,21.82,76.82,5.13,59.05,grapes
21.26,134.62,208.18,22.02,77.49,5.28,74.4,grapes
31.5,145.16,205.78,26.35,90.39,6.17,76.06,grapes
21.28,118.88,194.63,23.76,82.2,6.96,70.41,grapes
30.27,128.15,197.61,18.48,78.19,6.26,69.68,grapes
28.86,134.31,197.28,32.39,81.43,6.58,65.59,grapes
27.46,141.78,201.77,14.38,81.99,6.62,74.87,grapes
25.88,115.28,194.34,25.45,83.95,6.61,68.15,grapes
25.63,132.66,192.2,14.78,84.06,6.09,63.42,grapes
13.48,138.8,197.97,26.03,91.22,4.93,62.6,grapes
21.94,147.05,187.01,31.54,82.58,5.95,67.62,grapes
20.58,142.98,191.55,25.18,79.98,5.62,95.46,grapes
25.71,138.63,209.2,18.11,90.66,4.75,61.91,grapes
20.45,138.32,201.85,23.13,81.84,5.51,54.63,grapes
27.56,139.44,210.0,20.64,85.36,5.86,81.5,grapes
29.33,134.61,197.38,27.64,85.13,5.66,56.32,grapes
21.47,147.65,209.27,19.35,76.06,6.64,58.24,grapes
26.26,126.34,210.0,20.72,87.62,6.09,72.12,grapes
11.38,110.47,198.34,24.79,76.27,5.46,75.21,grapes
26.58,131.12,206.34,19.1,80.12,6.82,70.28,grapes
23.96,150.0,188.91,26.99,90.22,5.84,78.2,grapes
17.31,125.63,203.18,26.99,87.5,6.78,68.93,grapes
30.36,129.08,207.32,24.63,84.13,6.21,53.55,grapes
16.46,133.53,186.6,27.12,86.26,6.16,58.39,grapes
31.48,150.0,201.28,25.84,82.91,6.27,68.4,grapes
22.99,141.56,210.0,18.2,81.38,5.41,85.52,grapes
19.67,118.07,205.21,30.78,85.22,6.1,73.69,grapes
31.69,123.76,199.21,21.99,76.06,5.84,80.68,grapes
26.6,138.94,201.27,25.89,77.9,5.85,71.52,grapes
24.87,135.7,198.99,22.29,97.69,6.45,73.73,grapes
21.8,127.99,199.05,24.97,72.5,5.22,63.23,grapes
24.44,130.11,210.0,17.87,78.14,6.76,70.91,grapes
28.51,150.0,194.55,23.4,80.54,5.02,66.5,grapes
28.49,137.91,205.05,22.3,78.62,6.63,64.63,grapes
24.96,134.13,210.0,27.69,75.42,5.41,75.39,grapes
22.81,127.95,208.23,24.55,82.16,6.39,65.85,grapes
32.61,124.62,205.36,29.54,75.01,5.83,81.02,grapes
30.14,130.79,194.22,27.62,87.82,5.42,57.56,grapes
24.55,138.79,197.71,26.52,78.35,4.94,65.36,grapes
23.58,129.74,190.83,16.54,79.33,6.45,82.16,grapes
30.33,124.34,190.87,25.79,85.08,6.2,49.46,grapes
18.0,132.2,204.0,26.87,82.62,6.17,70.45,grapes
27.31,135.63,200.63,22.73,82.31,6.24,72.27,grapes
25.48,145.93,202.22,21.2,86.32,5.32,58.79,grapes
25.22,137.66,190.14,22.27,78.87,5.76,79.04,grapes
27.44,132.31,195.73,18.4,89.0,6.3,62.53,grapes
27.52,131.8,197.8,25.54,78.19,5.83,70.81,grapes
20.2,139.19,210.0,20.78,73.57,5.0,68.1,grapes
19.22,134.58,201.16,17.39,72.83,6.15,70.95,grapes
20.65,115.93,203.87,28.89,83.29,5.58,70.05,grapes
15.0,143.08,200.75,16.73,80.4,6.23,66.27,grapes
21.54,120.26,204.63,21.21,71.12,5.81,79.41,grapes
20.88,149.88,203.53,25.16,81.26,5.97,66.97,grapes
21.39,137.81,192.61,19.5,76.28,7.02,74.9,grapes
25.03,121.92,205.09,23.33,82.97,5.51,71.2,grapes
20.66,124.84,205.97,17.65,84.72,6.34,60.8,grapes
18.28,130.27,202.36,23.19,84.07,6.88,64.52,grapes
12.91,140.76,210.0,25.37,76.46,5.94,58.41,grapes
27.06,118.99,197.7,19.78,82.53,5.82,71.37,grapes
23.33,122.63,205.12,23.6,76.96,7.12,74.36,grapes
